Count,Strip,Lot ID,MONTH,DAY,Date(측정 일자 및 시간),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Variation,Group,Average
1,S0805,L820027537558,11,1,2021-11-01,1.1361,1.13581,1.1351,1.13497,1.13867,1.13852,1.13879,1.14293,1.15043,1.1409,1.14647,1.14035,1.14293,1.14218,1.13125,1.13722,1.10946,1.102,1.13727,1.13958,1.14421,1.1482,1.13983,1.09591,1.08903,1.09108,1.08235,0,0,0,0.02216,A,1.141
2,S0803,L820027537558,11,1,2021-11-01,1.13655,1.1362,1.13765,1.13541,1.13932,1.1394,1.14038,1.14046,1.14834,1.14235,1.1457,1.14295,1.14613,1.14159,1.12432,1.12634,1.07427,1.14498,1.14944,1.148,1.14299,1.1371,1.09628,1.09145,1.09691,1.10102,1.09522,0,0,0,0.02495,A,1.141
3,S0605,L820027537558,11,1,2021-11-01,1.13352,1.13454,1.13446,1.13442,1.14062,1.14028,1.13883,1.14235,1.15026,1.14236,1.14729,1.14334,1.14369,1.14464,1.12644,1.12776,1.15526,1.08957,1.09136,1.09795,1.10167,1.1007,1.15089,1.14854,1.14793,1.13999,1.13773,0,0,0,0.03162,B,1.14
4,S0906,L820027537558,11,1,2021-11-01,1.14235,1.14109,1.14272,1.14152,1.12962,1.12923,1.13081,1.13224,1.13259,1.13159,1.12013,1.1381,1.13632,1.1509,1.14742,1.14637,1.14875,1.08662,1.09433,1.09978,1.10449,1.10101,1.1472,1.14677,1.14562,1.14271,1.14029,0,0,0,0.03331,B,1.14
5,S0203,L820027537558,11,1,2021-11-01,1.1374,1.13785,1.13644,1.13439,1.14013,1.14229,1.14318,1.1416,1.15135,1.14233,1.14797,1.13915,1.14415,1.14574,1.11888,1.11742,1.09849,1.1444,1.14738,1.14664,1.14139,1.13755,1.10987,1.10005,1.10008,1.10485,1.10435,0,0,0,0.03393,B,1.141
6,S0603,L820027537558,11,1,2021-11-01,1.13597,1.13546,1.13496,1.1331,1.14164,1.14078,1.14173,1.14324,1.14736,1.14358,1.14814,1.14224,1.14466,1.14681,1.11618,1.11832,1.10457,1.14836,1.14833,1.15025,1.14625,1.13997,1.11147,1.10294,1.11,1.11065,1.11225,0,0,0,0.03498,B,1.14
7,S0205,L820027537558,11,1,2021-11-01,1.13798,1.13754,1.1384,1.13714,1.14106,1.14224,1.1396,1.14531,1.15195,1.14598,1.14733,1.14295,1.14243,1.14077,1.12616,1.12636,1.12393,1.14325,1.14625,1.14445,1.14021,1.13671,1.12269,1.13693,1.14326,1.14449,1.1473,0,0,0,0.03528,B,1.141
8,S0305,L820027537558,11,1,2021-11-01,1.13174,1.13231,1.13195,1.12945,1.13671,1.13559,1.13477,1.13494,1.14533,1.13725,1.14427,1.13926,1.14375,1.13743,1.11809,1.11285,1.12903,1.14732,1.14891,1.14952,1.14504,1.14086,1.12577,1.13916,1.14699,1.15116,1.14995,0,0,0,0.03533,B,1.136
9,S0905,L820027537558,11,1,2021-11-01,1.1339,1.13642,1.13579,1.13137,1.1398,1.14171,1.14046,1.14683,1.15139,1.14611,1.14757,1.1488,1.14695,1.14717,1.12284,1.11918,1.15368,1.107,1.14007,1.14151,1.14808,1.14875,1.15142,1.15125,1.14954,1.1428,1.1385,0,0,0,0.03543,B,1.141
10,S0103,L820027537558,11,1,2021-11-01,1.13435,1.13343,1.1343,1.1345,1.13996,1.14073,1.139,1.13917,1.14712,1.14393,1.14495,1.1466,1.14239,1.1415,1.11497,1.11386,1.11877,1.1478,1.15267,1.15318,1.1504,1.1416,1.11775,1.14331,1.14614,1.15062,1.15171,0,0,0,0.0356,B,1.139
11,S0306,L820027537558,11,1,2021-11-01,1.13514,1.13691,1.13876,1.13809,1.12513,1.12512,1.12989,1.13472,1.12404,1.11723,1.11107,1.14108,1.14173,1.13653,1.14319,1.14508,1.11872,1.11381,1.1382,1.14125,1.14499,1.14816,1.14035,1.10756,1.10359,1.10245,1.10056,0,0,0,0.03735,B,1.136
12,S0703,L820027537558,11,1,2021-11-01,1.1342,1.13453,1.13603,1.1363,1.13878,1.14026,1.14053,1.1386,1.14845,1.14272,1.14616,1.14592,1.13876,1.1446,1.11168,1.11794,1.13484,1.14669,1.15292,1.15012,1.14672,1.14097,1.12211,1.14316,1.15015,1.15253,1.15277,0,0,0,0.03774,B,1.139
13,S0303,L820027537558,11,1,2021-11-01,1.12977,1.13193,1.13231,1.13241,1.1362,1.13385,1.13527,1.13815,1.14359,1.13999,1.14646,1.14507,1.13772,1.13841,1.10883,1.11352,1.1241,1.11531,1.14023,1.14156,1.14882,1.15181,1.1441,1.11268,1.11098,1.10051,1.10123,0,0,0,0.03847,B,1.136
14,S0105,L820027537558,11,1,2021-11-01,1.13216,1.13324,1.13078,1.13104,1.13656,1.13791,1.13618,1.14106,1.14963,1.14298,1.14433,1.14109,1.14044,1.14343,1.1174,1.11769,1.11936,1.14663,1.14858,1.14871,1.14309,1.13738,1.11584,1.13675,1.14504,1.1498,1.15127,0,0,0,0.03872,B,1.137
15,S0706,L820027537558,11,1,2021-11-01,1.14021,1.13831,1.13935,1.14042,1.12872,1.12931,1.13173,1.13595,1.12428,1.12041,1.11201,1.14096,1.14192,1.14217,1.14605,1.14552,1.15344,1.12882,1.14137,1.14203,1.15012,1.14865,1.15054,1.15064,1.14633,1.13996,1.14205,0,0,0,0.03894,B,1.138
16,S0705,L820027537558,11,1,2021-11-01,1.13343,1.13319,1.13411,1.13562,1.13852,1.13781,1.13896,1.13905,1.1497,1.14248,1.14604,1.14609,1.14237,1.14347,1.12051,1.12089,1.15343,1.10161,1.14298,1.14154,1.14865,1.14896,1.1475,1.14878,1.14974,1.14369,1.14137,0,0,0,0.03915,B,1.138
17,S0106,L820027537558,11,1,2021-11-01,1.13932,1.14148,1.14212,1.13926,1.12939,1.12766,1.12878,1.13663,1.1289,1.12147,1.11249,1.14159,1.1444,1.14507,1.14656,1.14411,1.15164,1.10123,1.14301,1.14476,1.15017,1.15088,1.14784,1.15002,1.14959,1.14585,1.14274,0,0,0,0.03958,B,1.139
18,S0606,L820027537558,11,1,2021-11-01,1.14109,1.14046,1.14108,1.14119,1.12388,1.12395,1.12947,1.1348,1.12459,1.12215,1.10945,1.14143,1.14225,1.14374,1.14522,1.14578,1.11827,1.14447,1.14823,1.14734,1.14016,1.1364,1.11542,1.13589,1.14188,1.14596,1.14742,0,0,0,0.03979,B,1.138
19,S0903,L820027537558,11,1,2021-11-01,1.1357,1.13717,1.13553,1.13209,1.14039,1.1427,1.14363,1.14519,1.15254,1.14483,1.14946,1.14402,1.14323,1.14687,1.11288,1.11571,1.14787,1.07556,1.08931,1.08765,1.09532,1.09385,1.14611,1.14257,1.14156,1.1383,1.13649,0,0,0,0.04004,B,1.141
20,S0206,L820027537558,11,1,2021-11-01,1.14406,1.14293,1.14214,1.1421,1.12723,1.12878,1.13025,1.13351,1.13033,1.12475,1.11338,1.14572,1.14599,1.14296,1.14702,1.14782,1.15132,1.09216,1.13625,1.13986,1.14287,1.14471,1.1453,1.14627,1.14686,1.14175,1.13598,0,0,0,0.04015,B,1.14
21,S0907,L820027537558,11,1,2021-11-01,1.1333,1.13459,1.13264,1.13597,1.13779,1.13414,1.13742,1.13679,1.15029,1.1475,1.13185,1.14228,1.14245,1.12809,1.11989,1.11957,1.11215,1.14492,1.14767,1.14899,1.1442,1.14101,1.12047,1.10712,1.11328,1.11092,1.11062,0,0,0,0.04032,B,1.134
22,S1005,L820027537558,11,1,2021-11-01,1.13156,1.13268,1.13072,1.13102,1.13437,1.13565,1.13608,1.14121,1.14722,1.13931,1.14472,1.14353,1.13457,1.13919,1.11513,1.12017,1.13451,1.14717,1.14836,1.14844,1.14571,1.14287,1.13105,1.14128,1.14894,1.14863,1.14927,0,0,0,0.04094,B,1.135
23,S0901,L820027537558,11,1,2021-11-01,1.12946,1.13436,1.13135,1.1332,1.13868,1.13919,1.13847,1.14124,1.12804,1.14215,1.14589,1.13429,1.1419,1.1457,1.10837,1.12918,1.12827,1.14705,1.14867,1.15019,1.14978,1.14496,1.12928,1.14046,1.14373,1.14665,1.14737,0,0,0,0.04095,B,1.133
24,S0503,L820027537558,11,1,2021-11-01,1.13574,1.13455,1.13479,1.13351,1.13654,1.13477,1.13736,1.14244,1.14523,1.14053,1.14327,1.1462,1.14016,1.14354,1.10726,1.10695,1.14743,1.11502,1.1408,1.14615,1.15196,1.14992,1.14724,1.14699,1.14706,1.14043,1.13926,0,0,0,0.0416,B,1.136
25,S0808,L820027537558,11,1,2021-11-01,1.13775,1.13945,1.1377,1.13649,1.1257,1.1301,1.1304,1.13045,1.12082,1.11597,1.10513,1.13816,1.13573,1.11687,1.14273,1.14403,1.15276,1.0933,1.09387,1.09549,1.10085,1.10295,1.14699,1.1487,1.14483,1.14101,1.14011,0,0,0,0.04186,B,1.129
26,S0807,L820027537558,11,1,2021-11-01,1.13152,1.13344,1.13433,1.1314,1.13399,1.13157,1.1338,1.13203,1.14757,1.1413,1.12924,1.14487,1.13994,1.12195,1.13173,1.13454,1.12072,1.12604,1.10651,1.10167,1.09812,1.0958,1.11895,1.13525,1.13892,1.14299,1.14541,0,0,0,0.04187,B,1.132
27,S0908,L820027537558,11,1,2021-11-01,1.14218,1.14435,1.14096,1.13941,1.12204,1.1266,1.12961,1.12769,1.13083,1.12867,1.10887,1.13536,1.13183,1.12206,1.14717,1.14654,1.11998,1.14257,1.14684,1.14792,1.14187,1.14017,1.11678,1.13519,1.13834,1.14448,1.14818,0,0,0,0.04214,B,1.131
28,S0904,L820027537558,11,1,2021-11-01,1.13997,1.13956,1.14026,1.14048,1.12843,1.12813,1.12885,1.13475,1.11782,1.12582,1.12696,1.13882,1.13788,1.15039,1.14947,1.14748,1.14842,1.11905,1.13889,1.14287,1.14779,1.14756,1.14796,1.14623,1.14207,1.13916,1.13634,0,0,0,0.04243,B,1.139
29,S0403,L820027537558,11,1,2021-11-01,1.13331,1.13362,1.1335,1.13225,1.14003,1.13904,1.1392,1.14242,1.14395,1.14111,1.1456,1.15039,1.1408,1.14358,1.10869,1.11149,1.15007,1.09831,1.13968,1.1418,1.14766,1.14865,1.14965,1.14826,1.14958,1.14493,1.14129,0,0,0,0.04258,B,1.138
30,S1003,L820027537558,11,1,2021-11-01,1.13095,1.13053,1.13278,1.13155,1.13799,1.13646,1.13758,1.13911,1.14477,1.13907,1.14481,1.14331,1.13906,1.13988,1.1049,1.11709,1.11658,1.1239,1.10196,1.09918,1.09401,1.08944,1.11748,1.13245,1.13815,1.14441,1.1462,0,0,0,0.04333,B,1.136
31,S0406,L820027537558,11,1,2021-11-01,1.14005,1.14,1.13944,1.13829,1.12575,1.12612,1.12648,1.13336,1.11534,1.11349,1.11012,1.14393,1.15032,1.14161,1.14551,1.1446,1.10918,1.14449,1.14735,1.14814,1.14278,1.13609,1.1072,1.13454,1.14092,1.14293,1.14695,0,0,0,0.04355,B,1.137
32,S1006,L820027537558,11,1,2021-11-01,1.1403,1.1421,1.13992,1.13924,1.13131,1.13005,1.13076,1.13655,1.1199,1.11699,1.1063,1.14286,1.14544,1.14354,1.14615,1.14648,1.09031,1.14532,1.14667,1.14682,1.14345,1.13661,1.10258,1.09445,1.10311,1.10444,1.1036,0,0,0,0.04437,B,1.138
